Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft
0,РУАН ИМЕНИ Г.Б. МИРЗОЕВА,г. Москва,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",https://raa.ru/,"https://raa.ru/sveden/files/PM.02_Programma_UP.02.01(1).pdf
https://raa.ru/sveden/files/Informatika_UPPO_LR.pdf
https://raa.ru/sveden/files/OP.14_Inf._texnologii_v_prof._deyatelynosti_RP_25.08.2020_Protokol_1_ochnaya_9_kl.pdf
https://raa.ru/sveden/files/Informatika_LAby.pdf
https://raa.ru/sveden/files/EN.02_Informatika_RP_16.02.2021_zaochnaya_11_kl.pdf
"
1,АНО ВО «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,г. Москва,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,https://nid-design.org/,"https://nid-design.org/informatsiya-o-realizuemykh-obrazovatel-nykh-programmakh.html
https://nid-design.org/programmy-obucheniya/vse-programmy.html
https://nid-design.org/informatsiya-po-obrazovatelnym-programmam.html
https://nid-design.org/programmy-obucheniya/bakalavriat.html
https://nid-design.org/
"
2,"АНОО ВО «Воронежский экономико-правовой институт», АНОО ВО «ВЭПИ», ВЭПИ",Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,https://vepi.ru/,"https://vepi.ru/wp-content/uploads/upfiles/sveden/education/t10/tb5_23-24/09.03.03_pi/d/FOS_b1.v.08_09.03.03-pi-110401_26.09.2023.pdf
https://vepi.ru/wp-content/uploads/upfilessl/sveden/education/rp/rp_20-21/40.03.01_gos/RP_B1.V.DV.03.01_40.03.01-Gos-610501_16.12.2019.doc
https://vepi.ru/abitur/programmy-povysheniya-kvalifikatsii/
https://oskol.vepi.ru/upfiles/sveden/education/t10/tb5_allpdo/dpopp_psih/r/RP_Psih008_Psih--660301_22.01.2018.pdf
https://eng.vepi.ru/abitur/programmy-povysheniya-kvalifikatsii/
"
3,АНООВО «ЕУСПб»,г. Санкт-Петербург,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,https://eusp.org/,"https://eusp.org/sveden/files/Opisanie_PPK_Empir._metody_v_PI.pdf
https://eusp.org/sveden/files/9_Vvedenie_v_MO_(instrumenty)_i_metody_prikladnogo_iskusstvennogo_intellekta.pdf
https://eusp.org/sveden/files/Opisanie_PPK_Soc._issled._polyzovateley(1).pdf
https://eusp.org/sveden/files/16_Metodologiya_i_texnologii_ocenki_profilya_ESG.pdf
https://eusp.org/sveden/files/07_Ekonomicheskaya_teoriya.pdf
"
4,АНООВО «КИУ»,Калининградская область,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,https://kiu39.ru/,"https://kiu39.ru/_doc/OPOP-KKU/05. 38.02.03 - Операционная деятельность в логистике/2. Очная форма обучения (11 кл.)/3. Рабочие программы дисциплин/ЕН.02 Информационные технологии в профдеятельности.pdf
https://kiu39.ru/_doc/OPOP-KKU/08. 38.02.04 - Коммерция (по отраслям)/Очная - 9/5. РПП/ПМ.02+ Учебная.pdf
https://kiu39.ru/_doc/OPOP-KKU/02. 38.02.01 - Экономика и бухгалтерский учет (по отраслям)/1. Очная форма обучения (9 кл.)/3. Рабочие программы дисциплин (РПД)/ОП.10+ Налоги и налогообложение.pdf
https://org.kiu39.ru/sveden/files/60._B1.V.DV.8.2_Byudghetirovanie.pdf
https://kiu39.ru/_doc/OPOP-KIU/04. 40.03.01 - Юриспруденция/1. Очная форма обучения (КИУ)/3. Рабочие программы дисциплин/Б1.Б.15 Уголовный процесс.pdf
"
5,Международный институт компьютерных технологий,Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,https://www.iict.ru/,"https://www.iict.ru/abitur/19-образовательные-программы/204-09-03-01
https://www.iict.ru/abitur/19-образовательные-программы
https://www.iict.ru/информационно-образовательные-ресурсы-института/образовательные-программы
https://www.iict.ru/education/образовательные_программы?view=pdf&spec=ИКСС&file=Прикладное программное обеспечение профессиональной деятельности&p=1
https://www.iict.ru/education/образовательные_программы?view=np
"
6,АНООВО «ПССИ»,Московская область,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,https://www.podolsk-ssi.ru/,"https://www.podolsk-ssi.ru/sveden/index.html
https://www.podolsk-ssi.ru/sveden/objects/
https://www.podolsk-ssi.ru/abitur/bachelor/
https://www.podolsk-ssi.ru/sveden/education/eduaccred/
https://www.podolsk-ssi.ru/sveden/common/
"
7,"АНОО ВО ""СИБИТ""",Омская область,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,https://sibit.sano.ru/,"https://sibit.sano.ru/sveden/files/001818.pdf
https://sibit.sano.ru/sveden/files/001826.pdf
https://sibit.sano.ru/sveden/files/001811.pdf
https://sibit.sano.ru/sveden/files/001817.pdf
https://sibit.sano.ru/sveden/files/001822.pdf
"
8,Сколковский институт науки и технологий,Московская область,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,http://www.skoltech.ru/,"https://www.skoltech.ru/ofis-transfera-znaniy/programmnoe-obespechenie/
https://www.skoltech.ru/ofis-transfera-znaniy/software-licenses/
https://www.skoltech.ru/app/data/uploads/2022/02/Opisanie-programmy_L3_ver.-2.pdf
https://www.skoltech.ru/research/mass_spectrometry-2/
https://www.skoltech.ru/app/data/uploads/2022/02/Opisanie-programmy_L3_Ubuntu.pdf
"
9,Российский университет кооперации,Московская область,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,https://www.ruc.su/,"https://www.ruc.su/upload/documents/education/spo/prikladnaya-inform/ПИ 2017 учебная практика ПМ 02.pdf
https://www.ruc.su/upload/medialibrary/6d7/zp08h8m8ekz7fw7km2y5x0b1b0acgtss.pdf
https://www.ruc.su/upload/documents/education/spo/prikladnaya-inform/ПИ 2017 МУ_КР_МДК 02.01.pdf
https://www.ruc.su/upload/documents/education/spo/prikladnaya-inform/ПИ 2018 преддипломная практика.pdf
https://www.ruc.su/upload/documents/education/spo/prikladnaya-inform/ПИ 2019 производственная практика ПМ.02.pdf
"
10,АНО ООВО «ИТИ»,г. Москва,Автономная некоммерческая организация «Образовательная организация высшего образования «Институт театрального искусства»,https://mos-iti.ru/,"http://mos-iti.ru/images/pdf/edu/pologenie_o_praktike.pdf
https://mos-iti.ru/sveden/education/
https://mos-iti.ru/images/pdf/edu/pologenie_o_poryadke_org_obr_deyat.pdf
https://mos-iti.ru/wp-content/uploads/2023/11/praktika_2023.pdf
https://mos-iti.ru/wp-content/uploads/2023/11/preddiplomnaya_praktika_2023.pdf
"
11,АНО «ООВО» «УЭУ»,Республика Крым,Автономная некоммерческая организация «Образовательная организация высшего образования» «Университет экономики и управления»,http://ueu.crimea.ru/,"http://ueu.crimea.ru/sveden/files/B1.V.12_Upravlenie_karyeroy.pdf
http://ueu.crimea.ru/sveden/files/B1.V.DV.05.02_Dokumentacionnoe_obespechenie_upravleniya_personalom.pdf
http://ueu.crimea.ru/sveden/files/B1.B.15_Buxgalterskiy_uchet_i_analiz.pdf
http://ueu.crimea.ru/sveden/files/B1.B.02_Informacionnye_texnologii_v_ekonomicheskix_i_pravovyx_issledova.pdf
http://ueu.crimea.ru/sveden/files/B1.V.09_Standartizaciya,_sertifikaciya_i_texnicheskoe_dokumentovedenie.pdf
"
12,АНО ВО «ИДК»,г. Москва,Автономная некоммерческая организация Высшего Образования «Институт деловой карьеры»,https://www.ideka.ru/,"https://www.ideka.ru/sveden/objects
https://www.ideka.ru/sveden/education
https://www.ideka.ru/abitur/bachelor/380305-biznes-informatika
https://www.ideka.ru/upload/dokument/polozhenie-o-primenenii-elektronnogo-obucheniya.pdf
https://www.ideka.ru/abitur/bachelor/440303-speczialnoe-defektologicheskoe-obrazovanie
"
13,ИМЭС,г. Москва,Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»,https://imes.su/,"https://imes.su/press-tsentr/blog/item/1890-kto-takoy-programmist-chem-on-zanimaetsya-i-skolko-poluchaet
https://imes.su/kolledzh/napravleniya-podgotovki/informatika-i-vychislitelnaya-tekhnika
https://imes.su/press-tsentr/blog/item/1919-chto-takoe-programmirovanie
https://imes.su/press-tsentr/stati/item/877-programmist-plyusy-i-minusy-professii-zarplata
https://imes.su/press-tsentr/stati/item/858-programmist-posle-9-go-klassa-predmety-ekzameny-dlitelnost-obucheniya
"
14,АНО ВО «Институт экономики и управления в промышленности»,г. Москва,Автономная некоммерческая организация высшего образования «Институт экономики и управления в промышленности»,https://ineup.ru/,"https://www.ineup.ru/sveden/files/BI_RPD_Programmirovanie_2023(1).pdf
https://www.ineup.ru/sveden/files/BI_RPD_Upravlenie_kachestvom_cifrovogo_produkta_2023(1).pdf
https://www.ineup.ru/sveden/files/BI_RPD_Proektirovanie_IS_2023(1).pdf
https://ineup.ru/studentu/learning-resources-2
https://www.ineup.ru/sveden/files/BI_RPD_Modelirovanie_biznes-processov_2023(1).pdf
"
15,Университет БРИКС,г. Москва,"Автономная некоммерческая организация высшего образования ""Университет БРИКС (ЮниБРИКС)""",https://юнибрикс.рф/,
16,"АНО ВО ""УИФР""",Свердловская область,"Автономная некоммерческая организация высшего образования ""Уральский институт фондового рынка""",https://uifr.ru/,"https://uifr.ru/sveden/files/16.5_Informacionnye_texnologii_v_professionalynoy_deyatelynosti_2023.pdf
https://uifr.ru/sveden/files/RP_PrPrakt_UCHR_2023.pdf
https://uifr.ru/sveden/files/RP_Informacionnye_texnologii_v_menedghmente(1).pdf
https://uifr.ru/sveden/files/FOS_Informacionnye_Sistemy_v_Ekonomike.pdf
https://uifr.ru/sveden/files/RP_PrPrakt_PiOP_2023.pdf
"
17,АНО ВО «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,https://aso-ksui.ru/,
18,"АНО ВО «Белгородский университет кооперации, экономики и права»; Белгородский университет кооперации, экономики и права; БУКЭП",Белгородская область,"Автономная некоммерческая организация высшего образования «Белгородский университет кооперации, экономики и права»",https://www.bukep.ru/,"https://www.bukep.ru/assets/files/normativ_doc/BUKEP/norm-doc-act-19_10_2012/poloj_dop_obr.pdf
https://www.bukep.ru/assets/files/uch_rab/edu/test_new_edu/01__spo/2021/o/11/pr/pp/10_02_01__pp.pdf
https://www.bukep.ru/assets/files/abiturientam/2022/vstup_isp/bak/osn_it.pdf
https://www.bukep.ru/assets/files/uch_rab/edu/test_new_edu/02__bak/2021/o/pr/pdp/09_03_03.pdf
https://www.bukep.ru/assets/files/uch_rab/edu/test_new_edu/02__bak/2018/z/pr/pp/09_03_03__pp.pdf
"
19,АНО «Высшая школа сценических искусств»,г. Москва,Автономная некоммерческая организация высшего образования «Высшая школа сценических искусств»,https://www.raikin-school.com/,"http://www.raikin-school.com/sveden/objects/
https://www.raikin-school.com/additional-education/education.php
http://www.raikin-school.com/sveden/education/eduop/
https://www.raikin-school.com/sveden/files/Spravka_MTO_520501_Dram.pdf
https://www.raikin-school.com/additional-education/perechen-dpo.php
"
20,АНО ВО «Гуманитарный университет»,Свердловская область,Автономная некоммерческая организация высшего образования «Гуманитарный университет»,https://gu-ural.ru/,"https://gu-ural.ru/sveden/common/
https://gu-ural.ru/education/library/internet_resources/znanium-com/
https://gu-ural.ru/education/chair/center-of-computer/
https://lib.gu-ural.ru/works/details-1404
https://gu-ural.ru/abitur/
"
21,АНО ВО «Институт бизнеса и дизайна»,г. Москва,Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»,https://obe.ru/,"https://obe.ru/journal/vypusk-2020-g-4-20-dekabr/izmajlov-m-k-dokumentatsionnoe-obespechenie-upravleniya-problemy-i-perspektivy/
https://obe.ru/programs/upravlenie-tsifrovymi-produktami/
https://obe.ru/programs/razrabotka-cifrovyh-produktov/
https://archive.obe.ru/sveden/files/RP_Proektirovanie.pdf
https://archive.obe.ru/sveden/files/B1.V.DE.05.02_Dizain_gorodskoi_sredy.pdf
"
22,АНО ВО «ИГУМО и ИТ»,г. Москва,Автономная некоммерческая организация высшего образования «Институт гуманитарного образования и информационных технологий»,https://igumo.ru/,"https://igumo.ru/upload/medialibrary/d3a/d3a74fe8596997cfb4cee15e619ee3cb.pdf
https://igumo.ru/upload/medialibrary/f6f/f6f7ee790fb55925191e9ba2baf4f5af.pdf
https://igumo.ru/upload/medialibrary/0a8/0a85fa0bfffed6b58244f51c662d1cf2.pdf
https://igumo.ru/upload/medialibrary/78b/78bbff3aa94edbf15655803bfe07e65b.pdf
https://igumo.ru/upload/medialibrary/b8d/b8de17a9319afe598c25f7ee2ce3a2b1.pdf
"
23,АНО ВО ГИТР,г. Москва,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,https://gitr.ru/,"https://gitr.ru/wp-content/uploads/2324/zvukorezhissuraochnaya/praktiki/proizzvuk.pdf
https://gitr.ru/data/prog/2022/DS/uchproizzvuk2122.pdf
https://gitr.ru/wp-content/uploads/2324/zvukorezhissuraochnaya/praktiki/uchoznzvuk.pdf
https://gitr.ru/data/institute/extraprograms/teorpraktmont.pdf
https://gitr.ru/data/prog/zvuk/proizaszvuk.pdf
"
