soft_name;category;version;license;alt_compatible;desk_alt_sp10;serv_alt_sp10;alt_workstation10;alt_education10;alt_server10;ru_replacement
Project Professional 2007;;2007;Proprietary;;;;;;;
Project Standard 2007;;2007;Proprietary;;;;;;;
Project Professional 2010;;2010;Proprietary;;;;;;;
Project Professional 2013;;2013;Proprietary;;;;;;;
Project Professional 2016;;2016;Proprietary;;;;;;;
Project Portfolio Server 2007;;2007;Proprietary;;;;;;;
Project Portfolio Server 2007;;2007;Proprietary;;;;;;;
Project Server 2007;;2007;Proprietary;;;;;;;
Project Server 2010;;2010;Proprietary;;;;;;;
Project Server 2013;;2013;Proprietary;;;;;;;
Search Server 2008;;2008;Proprietary;;;;;;;
Search Server 2010;;2010;Proprietary;;;;;;;
SharePoint Designer 2007;;2007;Proprietary;;;;;;;
SharePoint Server 2007;;2007;Proprietary;;;;;;;
SharePoint Server 2010;;2010;Proprietary;;;;;;;
SharePoint Server 2013;;2013;Proprietary;;;;;;;
System Center 2012 R2 Standard/Datacenter;;2012;Proprietary;;;;;;;
Virtual PC for Mac 7.0;;7;Proprietary;;;;;;;
Visio 2007;;2007;Proprietary;;;;;;;
Visio Professional 2007;;2007;Proprietary;;;;;;;
Visio Standard 2007;;2007;Proprietary;;;;;;;
Visio 2010;;2010;Proprietary;;;;;;;
Visio Professional 2010;;2010;Proprietary;;;;;;;
Visio 2013;;2013;Proprietary;;;;;;;
Visio Professional 2013;;2013;Proprietary;;;;;;;
Visio 2016;;2016;Proprietary;;;;;;;
Visio Professional 2016;;2016;Proprietary;;;;;;;
Visual Basic 6.0;;6;Proprietary;;;;;;;
Visual C++ 4.2;;4.2;Proprietary;;;;;;;
Visual Studio 2010;;2010;Proprietary;;;;;;;
Visual Studio 2012;;2012;Proprietary;;;;;;;
Visual Studio 2013;;2013;Proprietary;;;;;;;
Visual Studio Enterprise 2015;;2015;Proprietary;;;;;;;
Visual Studio Professional 2015;;2015;Proprietary;;;;;;;
Visual Studio Test Professional 2015;;2015;Proprietary;;;;;;;
Visual Studio 2010 Professional;;2010;Proprietary;;;;;;;
Windows 10;;10;Proprietary;;;;;;;
Windows 7;;7;Proprietary;;;;;;;
Windows 8;;8;Proprietary;;;;;;;
Windows 8.1;;8.1;Proprietary;;;;;;;
Windows Embedded 8;;8;Proprietary;;;;;;;
Windows Embedded 8.1;;8.1;Proprietary;;;;;;;
Windows Embedded Compact 2013;;2013;Proprietary;;;;;;;
Windows Embedded Compact 7;;7;Proprietary;;;;;;;
Windows Embedded Standard 7;;7;Proprietary;;;;;;;
Windows MultiPoint Server 2011;;2011;Proprietary;;;;;;;
Windows MultiPoint Server 2012;;2012;Proprietary;;;;;;;
Windows Server 2008;;2008;Proprietary;;;;;;;
Windows Server 2012;;2012;Proprietary;;;;;;;
Windows Vista;;;Proprietary;;;;;;;
Eclipse;;;EPL;;;;;;;
Android Studio;;;Freeware;;;;;;;
Proteus Professional demonstration;;;Shareware;;;;;;;
Java SDK;;;GNU GPL;;;;;;;
Thunderbird;;;Freeware;;;;;;;
Google Chrome;;;Freeware;;;;;;;
PascalABC.NET;;;GNU GPL;;;;;;;
Free Pascal;;;GNU GPL;;;;;;;
SciDAVis;;;GNU GPL;;;;;;;
QtiPlot;;;GNU GPL;;;;;;;
PSPP;;;GNU GPL;;;;;;;
PTC Mathcad Express;;;Freeware;;;;;;;
Micro-Cap;;;Shareware;;;;;;;
Qucs;;;GNU GPL;;;;;;;
JASP;;;GNU GPL;;;;;;;
SMath Studio;;;Freeware;;;;;;;
STADIA 8.0;;8;Proprietary;;;;;;;
Net Beans 8.2;;8.2;GNU GPL;;;;;;;
ACDChemSketch;;;GNU GPL;;;;;;;
LibreOffice;;;GNU GPL;;;;;;;
OpenOffice;;;GNU GPL;;;;;;;
7zip;;;GNU GPL;;;;;;;
Apache;;;GNU GPL;;;;;;;
Firebird;;;GNU GPL;;;;;;;
MySQL;;;GNU GPL;;;;;;;
Postgres;;;GNU GPL;;;;;;;
SciLab;;;GNU GPL;;;;;;;
Ramus Educational;;;GNU GPL;;;;;;;
GNU Octave;;;GNU GPL;;;;;;;
Gwyddion;;;GNU GPL;;;;;;;
GIMP;;;GNU GPL;;;;;;;
Paint.NET;;;GNU GPL;;;;;;;
Inkscape;;;GNU GPL;;;;;;;
LibreCAD;;;GNU GPL;;;;;;;
К - MAIN;;;Shareware;;;;;;;
MuseScore;;;GNU GPL;;;;;;;
Avogadro;;;GNU GPL;;;;;;;
OpenBabel;;;GNU GPL;;;;;;;
Marvin;;;For Education;;;;;;;
AutoDock;;;GNU GPL;;;;;;;
OEDocking;;;For Education;;;;;;;
ACD ChemSketch;;;For Education;;;;;;;
Lazarus;;;Freeware;;;;;;;
GAP;;;Freeware;;;;;;;
Apache HTTP Server;;;Apache License 2.0;;;;;;;
OpenModelica;;;OSMC Public License;;;;;;;
Git;;;GNU GPL;;;;;;;
Oracle VM VirtualBox;;;GNU GPL;;;;;;;
GNS3;;;GNU GPL;;;;;;;
mmana-gal;;;GNU GPL;;;;;;;
AVR STUDIO 5;;5;GNU GPL;;;;;;;
МК AVR ASTU- DIO 4.16;;4.16;GNU GPL;;;;;;;
NASM;;;FreeBSD License;;;;;;;
DOSBox;;;GNU GPL;;;;;;;
Visual Studio Community;;;Shareware;;;;;;;
Cisco Packet Tracer;;;Freeware;;;;;;;
Miktex;;;Free Software Foundation;;;;;;;
KiCad;;;GNU GPL;;;;;;;
Mulisp;;;Free Software Foundation;;;;;;;
Visual Prolog;;;For Education;;;;;;;
CUDA Toolkit;;;Freeware;;;;;;;
Arduino IDE;;;Free Software Foundation;;;;;;;
Codeblocks;;;GNU GPL;;;;;;;
Scratch;;;FreeBSD License;;;;;;;
NanoCad;;;Proprietary;;;;;;;
ISE Design Suite 14.7;;14.7;Freeware;;;;;;;
T-flex v15;;;Shareware;;;;;;;
Adobe reader;;;Shareware;;;;;;;
VLC media player;;;Freeware;;;;;;;
GPSS World Student Version 5.2;;5.2;Freeware;;;;;;;
Anaconda3;;;FreeBSD License;;;;;;;
PyCharm Community;;;Apache License 2.0;;;;;;;
Keras;;;MIT License;;;;;;;
Theano;;;FreeBSD License;;;;;;;
CuDNN;;;Freeware;;;;;;;
MySQL Community Edition;;;Freeware;;;;;;;
1С: Предприятие 8.3. Версия для обучения программированию;;;Shareware;;;;;;;
RPS (Radio Planning System);;;Freeware;;;;;;;
Программная модель i8051 PDS-simulator;;;Freeware;;;;;;;
Базовое программное обеспечение процессора nm6403;;;Freeware;;;;;;;
Avidemux;;;GNU GPL;;;;;;;
 Audacity;;;GNU GPL;;;;;;;
 CRM-Express Free;;;Freeware;;;;;;;
Малая экспертная система 1.2 ;;1.2;Freeware;;;;;;;
 SoMapAnalyzer 1.0;;;Freeware;;;;;;;
Avidemux;;;GNU GPL;;;;;;;
Simple-Scada 1.3.3;;1.3.3.;Shareware;;;;;;;
