Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft
260,Белорусско-Российский университет,"образовательные учреждения, находящиеся за пределами Российской Федерации",межгосударственное образовательное учреждение высшего образования «Белорусско-Российский университет»,http://bru.by/,http://e.biblio.bru.by/bitstream/handle/1212121212/6853/186_Tehnologii_razrabotki_PO.pdf?sequence=1
261,МОУ ВО РТСУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",межгосударственное образовательное учреждение высшего образования «Российско-Таджикский (Cлавянский) университет»,https://rtsu.tj/,https://old.rtsu.tj/ru/admission/abiturientam/Перечень направлений 2023-2024.pdf
262,МБОУ ВО «Тольяттинская консерватория»,Самарская область,муниципальное бюджетное образовательное учреждение высшего образования городского округа Тольятти «Тольяттинская консерватория»,https://ktlt.ru,https://ktlt.ru/history/places/detskaya-muzykalnaya-shkola-4-imeni-v-m-sverdlova/
263,МОАУ ВО «Воронежский институт экономики и социального управления»,Воронежская область,муниципальное образовательное автономное учреждение высшего образования «Воронежский институт экономики и социального управления»,http://viesm.ru/,http://viesm.ru/rpd/380302/380302_inform_teh_men.pdf
264,НЧОУ ВО «НИЭУП»,Ставропольский край,"некоммерческое частное образовательное учреждение высшего образования «Невинномысский институт экономики, управления и права»",https://nieup.ru/,https://www.nieup.ru/files/sveden/education/20230314-104300.pdf
265,ОГБОУ ВО «Смоленский государственный институт искусств»,Смоленская область,областное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный институт искусств»,https://sgii-smol.ru/,https://sgii-smol.ru/sveden/education/informacziya-po-obrazovatelnyim-programmam/
266,ИМПЭ им. А.С. Грибоедова,г. Москва,образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,https://www.iile.ru/,https://www.iile.ru/services/faculties/fakultet-lingvistiki-chapter/fakultet-lingvistiki/
267,МТУСИ,г. Москва,ордена Трудового Красного Знамени федеральное государственное бюджетное образовательное учреждение высшего образования «Московский технический университет связи и информатики»,https://mtuci.ru/,https://mtuci.ru/upload/iblock/4ea/c5griytwi4yjec0gjx79o6kzrauwbbwe/B1.O.03.-Tekhnologii-razrabotki-PO-2021.pdf
268,Национальный исследовательский университет «МИЭТ»; НИУ МИЭТ; МИЭТ,г. Москва,федеральное государственное автономное  образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»,https://www.miet.ru/,https://www.miet.ru/list_programs/dopolnitelnye-obshcheobrazovatelnye-programmy/programmirovanie-na-yazyke-java/
269,"ФГАОУ ВО «Балтийский федеральный университет имени Иммануила Канта», ФГАОУ ВО «Балтийский федеральный университет им. И. Канта», Балтийский федеральный университет имени Иммануила Канта, Балтийский федеральный университет им. И. Канта, ФГАОУ ВО «БФУ им. И. Канта», БФУ им. И. Канта",Калининградская область,федеральное государственное автономное образовательное учреждение высшего образования «Балтийский федеральный университет имени Иммануила Канта»,https://kantiana.ru/,https://kantiana.ru/enrollee/programs/informatsionnye-sistemy-i-programmirovanie-na-baze-9-klassov/
